Topic,Name,Representation,Count
2,2_michael_bobby_micky_vincent,"['michael', 'bobby', 'micky', 'vincent', 'mac', 'rocky', 'family', 'brick', 'fight', 'melvin']",45
6,6_jobu_evelyn_earth_watney,"['jobu', 'evelyn', 'earth', 'watney', 'comet', 'alien', 'orlean', 'waymond', 'lan', 'fox']",20
-1,-1_woody_father_mother_family,"['woody', 'father', 'mother', 'family', 'home', 'new', 'night', 'wife', 'money', 'returns']"
3,3_marius_cleopatra_marcellus_maria,"['marius', 'cleopatra', 'marcellus', 'maria', 'bernadette', 'queen', 'romeo', 'amsterdam', 'juliet', 'commodus']",45
9,9_ray_max_rico_farnsworth,"['ray', 'max', 'rico', 'farnsworth', 'friendly', 'norma', 'joey', 'jordan', 'graham', 'corn']",13
5,5_german_soldier_captain_germans,"['german', 'soldier', 'captain', 'germans', 'schofield', 'soldiers', 'roberts', 'british', 'killed', 'rose']",35
8,8_cheney_barnes_taylor_kaffee,"['cheney', 'barnes', 'taylor', 'kaffee', 'kovic', 'waters', 'schanberg', 'davenport', 'nicholson', 'lieutenant']",17
0,0_george_new_phil_mother,"['george', 'new', 'phil', 'mother', 'later', 'house', 'daughter', 'daisy', 'marry', 'wedding']",110
1,1_tony_police_jimmy_cogburn,"['tony', 'police', 'jimmy', 'cogburn', 'bernardo', 'sheeran', 'murder', 'white', 'django', 'johnson']",56
4,4_frederic_herman_film_merrick,"['frederic', 'herman', 'film', 'merrick', 'milk', 'gabriel', 'molina', 'christian', 'georges', 'carton']",39
7,7_basil_pádraic_robin_sheep,"['basil', 'pádraic', 'robin', 'sheep', 'babe', 'dil', 'fergus', 'hushpuppy', 'villagers', 'charbonnet']",20
